molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,assay_chembl_id,assay_type,assay_description,document_chembl_id,document_year
CHEMBL111195,COC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)CCCN=C(N)N)C(C)O)C1CCCCC1,IC50,16.0,nM,7.8,CHEMBL649726,B,Concentration required to inhibit Human alpha-thrombin was determined,CHEMBL1134950,2002
CHEMBL3142785,Cc1ccccc1CNC(=O)[C@@H]1CCCN1C(=O)C(N)C(c1ccccc1)c1ccccc1,IC50,600.0,nM,6.22,CHEMBL808337,B,Inhibitory activity against thrombin,CHEMBL1131569,1998
CHEMBL47751,c1ccc(COc2ccc(CNc3ccncc3)cc2)cc1,Ki,4700.0,nM,5.33,CHEMBL813565,B,Compound was evaluated for its inhibitory activity against human thrombin,CHEMBL1131365,1998
CHEMBL116245,N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCNC(=O)c2cnccn2)NC(=O)OCc2ccccc2)C1O,IC50,2500.0,nM,5.6,CHEMBL815798,B,In vitro inhibition of human Thrombin (FIIa).,CHEMBL1131910,1999
CHEMBL366556,COC(=O)CCCN(c1ccc2nc(C)n(Cc3ccc4ccc(C(=N)N)cc4c3)c2c1)C1CCN(C(C)=N)CC1,Ki,4610.0,nM,5.34,CHEMBL660489,B,In vitro inhibitory activity against human coagulation factor II,CHEMBL1133358,2000
CHEMBL366535,COC(=O)C(C)CN(c1ccc2nc(C)n(Cc3ccc4ccc(C(=N)N)cc4c3)c2c1)C1CCN(C(C)=N)CC1,Ki,300.0,nM,6.52,CHEMBL660489,B,In vitro inhibitory activity against human coagulation factor II,CHEMBL1133358,2000
CHEMBL171966,CC(=N)N1CCC(N(CCCC(=O)O)c2ccc3c(c2)nc(C)n3Cc2ccc3ccc(C(=N)N)cc3c2)CC1,Ki,5000.0,nM,5.3,CHEMBL660489,B,In vitro inhibitory activity against human coagulation factor II,CHEMBL1133358,2000
CHEMBL322178,CC(O)[C@H](NC(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)CCCN=C(N)N)C(=O)N[C@@H](C)Cc1ccccc1,IC50,260.0,nM,6.58,CHEMBL649726,B,Concentration required to inhibit Human alpha-thrombin was determined,CHEMBL1134950,2002
CHEMBL320707,CC(O)[C@H](NC(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)CCCN=C(N)N)C(=O)N[C@H](C)c1ccccc1,IC50,72.0,nM,7.14,CHEMBL649726,B,Concentration required to inhibit Human alpha-thrombin was determined,CHEMBL1134950,2002
CHEMBL320351,CC(O)[C@H](NC(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)CCCN=C(N)N)C(=O)N[C@@H](C)c1ccccc1,IC50,310.0,nM,6.51,CHEMBL649726,B,Concentration required to inhibit Human alpha-thrombin was determined,CHEMBL1134950,2002
CHEMBL3142678,Cc1cccc(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C(c2ccccc2)c2ccccc2)c1C,IC50,310.0,nM,6.51,CHEMBL808337,B,Inhibitory activity against thrombin,CHEMBL1131569,1998
CHEMBL3142752,Cc1cccc(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C(c2ccccc2)c2ccccc2)c1,IC50,100.0,nM,7.0,CHEMBL808337,B,Inhibitory activity against thrombin,CHEMBL1131569,1998
CHEMBL115902,N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCNC(=O)c2cnc3ccccc3c2)NS(=O)(=O)Cc2ccccc2)C1O,IC50,537.0,nM,6.27,CHEMBL815798,B,In vitro inhibition of human Thrombin (FIIa).,CHEMBL1131910,1999
CHEMBL369161,CCCc1nc2cc(OC3CCN(C(C)=N)CC3)ccc2n1Cc1ccc2ccc(C(=N)N)cc2c1,Ki,2400.0,nM,5.62,CHEMBL660489,B,In vitro inhibitory activity against human coagulation factor II,CHEMBL1133358,2000
CHEMBL49808,N=C(N)c1ccc(CNC(=O)[C@@H]2CCC=C2C(=O)NC2CCCCC2)cc1,IC50,1510.0,nM,5.82,CHEMBL816447,B,In vitro for the inhibition of thrombin,CHEMBL1132927,2000
CHEMBL416904,N=C(N)c1ccc(CNC(=O)C2CCC=C2C(=O)Nc2ccccc2)cc1,IC50,4900.0,nM,5.31,CHEMBL816447,B,In vitro for the inhibition of thrombin,CHEMBL1132927,2000
CHEMBL108183,NC(C(=O)N1CCC[C@H]1C(=O)NCc1cc(Cl)ccc1Cl)C(c1ccccc1)c1ccccc1,Ki,3.0,nM,8.52,CHEMBL814953,B,Binding affinity towards thrombin,CHEMBL1131569,1998
CHEMBL355097,COC(=O)CN(c1ccc2c(c1)nc(C)n2Cc1ccc2ccc(C(=N)N)cc2c1)C1CCN(C(C)=N)CC1,Ki,2700.0,nM,5.57,CHEMBL660489,B,In vitro inhibitory activity against human coagulation factor II,CHEMBL1133358,2000
CHEMBL367725,CC(=N)N1CCC(Oc2ccc3nc(CCC(N)=O)n(Cc4ccc5ccc(C(=N)N)cc5c4)c3c2)CC1,Ki,590.0,nM,6.23,CHEMBL660489,B,In vitro inhibitory activity against human coagulation factor II,CHEMBL1133358,2000
CHEMBL321268,COC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)CCCN=C(N)N)C(C)O)c1ccccc1,IC50,8.3,nM,8.08,CHEMBL649726,B,Concentration required to inhibit Human alpha-thrombin was determined,CHEMBL1134950,2002
CHEMBL3142667,NC(C(=O)N1CCC[C@H]1C(=O)NCc1ccccc1)C(c1ccccc1)c1ccccc1,IC50,130.0,nM,6.89,CHEMBL808337,B,Inhibitory activity against thrombin,CHEMBL1131569,1998
CHEMBL3142667,NC(C(=O)N1CCC[C@H]1C(=O)NCc1ccccc1)C(c1ccccc1)c1ccccc1,Ki,110.0,nM,6.96,CHEMBL814953,B,Binding affinity towards thrombin,CHEMBL1131569,1998
CHEMBL369165,CCC(C)c1nc2ccc(OC3CCN(C(C)=N)CC3)cc2n1Cc1ccc2ccc(C(=N)N)cc2c1,Ki,160.0,nM,6.8,CHEMBL660489,B,In vitro inhibitory activity against human coagulation factor II,CHEMBL1133358,2000
CHEMBL441670,CC(=N)N1CCC(Oc2ccc3c(c2)nc(C)n3Cc2ccc3ccc(C(=N)N)cc3c2)CC1,Ki,3900.0,nM,5.41,CHEMBL660489,B,In vitro inhibitory activity against human coagulation factor II,CHEMBL1133358,2000
CHEMBL175286,CC(=N)N1CCC(Oc2ccc3c(c2)nc(C(C)(C)C)n3Cc2ccc3ccc(C(=N)N)cc3c2)CC1,Ki,950.0,nM,6.02,CHEMBL660489,B,In vitro inhibitory activity against human coagulation factor II,CHEMBL1133358,2000
CHEMBL355796,CCOC(=O)CCC(=O)N(c1ccc2nc(C)n(Cc3ccc4ccc(C(=N)N)cc4c3)c2c1)C1CCN(C(C)=N)CC1,Ki,4600.0,nM,5.34,CHEMBL660489,B,In vitro inhibitory activity against human coagulation factor II,CHEMBL1133358,2000
CHEMBL298879,N=C(N)c1ccc(CNC(=O)[C@@H]2CCC=C2C(=O)NCC2CCCCC2)cc1,IC50,9330.0,nM,5.03,CHEMBL816447,B,In vitro for the inhibition of thrombin,CHEMBL1132927,2000
CHEMBL173020,CC(=N)N1CCC(Oc2ccc3nc(C)n(Cc4ccc5ccc(C(=N)N)cc5c4)c3c2)CC1,Ki,230.0,nM,6.64,CHEMBL660489,B,In vitro inhibitory activity against human coagulation factor II,CHEMBL1133358,2000
