molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,assay_chembl_id,assay_type,assay_description,document_chembl_id,document_year
CHEMBL1628199,CCCCN(C)C(=O)CCCCCCCCCCS[C@@H]1C(=O)c2cc(O)ccc2[C@H]2CC[C@]3(C)[C@@H](O)CC[C@H]3[C@H]12,EC50,28.0,nM,7.55,CHEMBL676808,F,Agonist effect on transcriptional activation in MCF-7 cells expressing estrogen receptor alpha,CHEMBL1132758,2000
CHEMBL1358,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O,IC50,6.0,nM,8.22,CHEMBL679325,B,Displacement of [3H]17-beta-estradiol from human Estrogen receptor alpha,CHEMBL1132758,2000
CHEMBL1358,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O,IC50,0.47,nM,9.33,CHEMBL679882,F,Antagonist effect on transcriptional activation in MCF-7 cells expressing estrogen receptor alpha,CHEMBL1132758,2000
CHEMBL57875,CN(CCc1ccccc1)c1cc(-c2ccccc2)cc(-c2ccc(O)cc2)n1,Ki,490.0,nM,6.31,CHEMBL682296,B,Ability to displace [3H]17-beta-estradiol from Estrogen receptor alpha by scintillation proximity assay.,CHEMBL1133877,2001
CHEMBL57093,CCCN(Cc1ccccn1)c1cc(-c2ccccc2)cc(-c2ccc(O)c(C)c2)n1,Ki,70.0,nM,7.16,CHEMBL682296,B,Ability to displace [3H]17-beta-estradiol from Estrogen receptor alpha by scintillation proximity assay.,CHEMBL1133877,2001
CHEMBL81,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,Ki,0.22,nM,9.66,CHEMBL682296,B,Ability to displace [3H]17-beta-estradiol from Estrogen receptor alpha by scintillation proximity assay.,CHEMBL1133877,2001
CHEMBL58714,Cc1cc(-c2cc(-c3ccccc3)cc(N3CCC(Cc4ccccc4)CC3)n2)ccc1O,Ki,20.0,nM,7.7,CHEMBL682296,B,Ability to displace [3H]17-beta-estradiol from Estrogen receptor alpha by scintillation proximity assay.,CHEMBL1133877,2001
CHEMBL1627355,CC(=O)O[C@H]1CC[C@H]2[C@@H]3[C@H](Sc4ccc(Br)cc4)C(=O)c4cc(O)ccc4[C@H]3CC[C@]12C,EC50,5.0,nM,8.3,CHEMBL676808,F,Agonist effect on transcriptional activation in MCF-7 cells expressing estrogen receptor alpha,CHEMBL1132758,2000
CHEMBL135,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,Ki,2.2,nM,8.66,CHEMBL682296,B,Ability to displace [3H]17-beta-estradiol from Estrogen receptor alpha by scintillation proximity assay.,CHEMBL1133877,2001
CHEMBL1627354,CCCCN(C)C(=O)CCCCCCCCCCS[C@@H]1Cc2cc(O)ccc2[C@H]2CC[C@]3(C)[C@@H](O)CC[C@H]3[C@@H]21,IC50,9.0,nM,8.05,CHEMBL679325,B,Displacement of [3H]17-beta-estradiol from human Estrogen receptor alpha,CHEMBL1132758,2000
