compound_id,molecule_chembl_id,std_smiles,pchembl_value,standard_type,MW,LogP,HBD,HBA,RotBonds,TPSA,NumHeavyAtoms,NetCharge
ACT_062,CHEMBL1980371,Cc1c(NC2CCC(N)CC2)nc2ccnn2c1Nc1ccc(F)c(Cl)c1,5.1,Ki,388.87800000000004,4.255620000000002,3,5,4,80.27,27,0
ACT_063,CHEMBL1562756,CC1(C)CC2=Nc3cc(Cl)ccc3SC2=C(O)C1,5.2,Ki,279.79200000000003,5.107800000000003,1,3,0,32.59,18,0
ACT_064,CHEMBL3952214,CC(C)n1cnnc1-c1cccc(N2Cc3ccccc3C2=O)n1,7.2,IC50,319.3680000000001,3.0814000000000012,0,4,3,63.910000000000004,24,0
ACT_065,CHEMBL4549667,CN1C(=O)[C@@H](N2CCc3c(nn(Cc4ccccc4)c3Br)C2=O)COc2ccccc21,6.0,IC50,481.3500000000002,3.116200000000001,0,4,3,67.67,31,0
ACT_066,CHEMBL1270795,CSc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(C)ns2)n1,5.64,IC50,343.4410000000001,3.3498200000000002,2,7,4,83.79,23,0
ACT_067,CHEMBL578201,Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)c(C#N)nc2C)n[nH]1,6.34,IC50,352.3770000000001,3.1390200000000004,3,7,5,115.19999999999999,26,0
ACT_068,CHEMBL1989805,N#CC1=C(N)n2c(sc(=Cc3ccco3)c2=O)=C(C(N)=O)C1c1ccco1,5.1,Ki,380.38500000000016,0.008880000000000055,2,7,3,141.18,27,0
ACT_069,CHEMBL5275225,O=C1CC(=O)N(c2ccc(F)cc2)C(=S)N1C(=O)c1ccccc1,5.35,IC50,342.35100000000006,2.516300000000001,0,4,2,57.690000000000005,24,0
ACT_070,CHEMBL58224,O=C1Nc2cccc(C3CCNCC3)c2/C1=C/c1[nH]cc2c1CCOC2=O,8.05,IC50,363.41700000000014,2.6873000000000014,3,4,2,83.22,27,0
ACT_071,CHEMBL1976420,CCc1c(-c2ccc(C(C)(C)O)cc2)[nH]c2nccnc12,6.6,Ki,281.359,3.4147000000000016,2,3,3,61.8,21,0
ACT_072,CHEMBL3787112,Nc1ncnc2c1c(-c1cccc(O)c1)cn2[C@H]1C[C@@H](CN2CCC2)C1,6.39,IC50,349.4380000000002,3.0429000000000013,2,5,4,80.2,26,0
ACT_073,CHEMBL5597436,CN(C)C(=O)c1cc2cnc(Nc3ccc(S(=O)(=O)N(C)C)cc3Cl)cc2[nH]1,5.11,IC50,421.91000000000014,2.912000000000001,2,5,5,98.4,28,0
ACT_074,CHEMBL1991640,O=c1[nH]sc2c1c(=O)c1cc(F)c(NCc3ccccc3)c(F)c1n2C1CC1,5.4,Ki,399.42200000000014,4.129700000000002,2,4,4,66.89,28,0
ACT_075,CHEMBL1999774,Cc1c(Cl)c(N2CCC(CN)C2)nc2[nH]cc(C(=O)O)c(=O)c12,5.1,Ki,336.7790000000001,1.3681200000000002,3,5,3,112.31,23,0
ACT_076,CHEMBL448853,Clc1cncc(Nc2ccccc2)n1,5.16,IC50,205.64800000000002,2.8736000000000006,1,3,2,37.81,14,0
ACT_077,CHEMBL1082440,Cc1cncc2cccc(S(=O)(=O)N3CCCNCC3C)c12,5.6,Ki,319.43,1.9157199999999999,1,4,2,62.300000000000004,22,0
ACT_078,CHEMBL1984274,O=C1C(=NNc2cccc3c(=O)[nH][nH]c(=O)c23)C(c2ccccc2)=NN1c1ccccc1,6.0,Ki,424.42,2.4354000000000005,3,6,4,122.77999999999997,32,0
