compound_id,molecule_chembl_id,std_smiles,pchembl_value,standard_type,MW,LogP,HBD,HBA,RotBonds,TPSA,NumHeavyAtoms,NetCharge
ACT_056,CHEMBL4779714,Cc1nn(C)cc1NC(=O)C1(NC(=O)Nc2ccc(Br)cc2)CCCC1,7.05,EC50,420.3110000000002,3.564020000000002,3,3,4,88.05000000000001,26,0
ACT_057,CHEMBL5811327,CCOP(=O)(CCNC(=O)CC1(C(C)C)NC(=O)N(NC(=O)Nc2ccc(Br)cc2)C1=O)OCC,7.96,EC50,576.3850000000001,3.204600000000002,4,7,12,155.17,35,0
ACT_058,CHEMBL1289379,COc1ccc(CCNC(=O)Nc2ccc(F)cc2)cc1,6.05,EC50,288.322,3.198500000000001,2,2,5,50.36,21,0
ACT_059,CHEMBL212113,CCc1c(NC(=O)Nc2ccc(C)c(F)c2)c(=O)n(-c2ccccc2)n1C,6.51,EC50,368.41200000000003,3.829920000000002,2,2,4,68.06,27,0
ACT_060,CHEMBL6001157,CS(=O)(=O)Nc1ccccc1-c1ccc(N2C[C@H](O)C[C@@H](NC(=O)Nc3ccc(C(F)(F)F)cc3)C2=O)cc1,9.12,EC50,562.5700000000002,4.031800000000002,4,5,6,127.84,39,0
ACT_061,CHEMBL5777462,COc1ccc([C@H]2CCN(C(C)=O)C[C@@H]2NC(=O)Nc2ccc(C(F)(F)F)nc2)cc1,6.3,EC50,436.434,3.635100000000002,2,4,4,83.56,31,0
ACT_062,CHEMBL5265888,Cc1cccc(C2(NC(=O)N[C@@H]3C(=O)NC[C@H]3c3c(F)cc(Br)cc3F)CC2)n1,8.0,EC50,465.2980000000002,3.0012200000000018,3,3,4,83.12,29,0
ACT_063,CHEMBL4759517,O=C(Nc1ccc(Br)cc1)NC(C(=O)NCC1CCCO1)C1CCCC1,6.27,EC50,424.33900000000034,3.4246000000000016,3,3,6,79.46000000000001,26,0
ACT_064,CHEMBL3920546,NC(=O)c1cc(O[C@H]2CCNC2=O)nc(C2=CCC(Oc3ccc(C(F)(F)F)cc3)CC2)n1,6.66,IC50,462.4280000000001,2.876500000000001,2,6,6,116.43000000000002,33,0
ACT_065,CHEMBL6064579,O=C(Nc1ccc(Cl)c(Cl)c1)NC(Cc1ccccc1)C(=O)O,5.0,EC50,353.20500000000004,3.810800000000002,3,2,5,78.43,23,0
ACT_066,CHEMBL5853502,Nc1nc(N)c(NC(=O)Nc2ccc(C(=O)N[C@H](C(=O)O)C3CCCCC3)nc2)c(=O)[nH]1,7.77,IC50,444.45200000000034,0.7365999999999981,7,8,6,218.20999999999995,32,0
ACT_067,CHEMBL3975184,Cc1ccc(OC2CCN(S(=O)(=O)c3c(C(F)(F)F)nn(C)c3C)CC2)cc1,5.77,IC50,417.45300000000015,3.287840000000002,0,4,4,64.43,28,0
ACT_068,CHEMBL6044207,CC(C)C[C@H](NC(=O)Nc1ccc(Br)cc1)C(=O)N(C)CC(=O)OC(C)(C)C,7.92,EC50,456.3810000000003,3.7854000000000028,2,4,7,87.74000000000001,28,0
ACT_069,CHEMBL5169641,COc1cc(F)c([C@@H]2CNC(=O)[C@H]2c2nc3cc(Cl)ccc3[nH]2)c(F)c1,6.96,EC50,377.7780000000001,3.500300000000001,2,3,3,67.00999999999999,26,0
ACT_070,CHEMBL4454594,CCCCC(C(=O)Nc1ccc(Cl)cc1)n1nc(C)cc(Cc2ccccc2OC)c1=O,7.29,EC50,453.9700000000003,5.174520000000004,1,4,9,73.22,32,0
ACT_071,CHEMBL5285738,O=C(Cn1c(=O)[nH]cc(-c2ccccc2)c1=O)Nc1ccc(Br)cc1,5.05,EC50,400.2320000000001,2.604800000000001,2,3,4,83.96000000000001,25,0
ACT_072,CHEMBL5967187,CCC[C@H](NC(=O)Nc1ccc(Br)cc1)c1nccn1CC(=O)OCC,5.96,EC50,423.3110000000002,3.8716000000000017,2,4,8,85.25000000000001,26,0
ACT_073,CHEMBL3912013,NC(=O)c1cc(N[C@H]2CCNC2=O)nc(-c2ccc(Oc3ccc(Cl)cc3F)cc2)n1,6.92,IC50,441.8500000000001,3.127700000000001,3,6,6,119.23,31,0
ACT_074,CHEMBL3729765,Cc1ccc(NC(=O)[C@H]2[C@H](C(=O)NCCC(N)=O)[C@H]3C=C[C@@H]2C32CC2)nc1,6.48,EC50,368.4370000000001,1.1485199999999998,3,4,6,114.17999999999999,27,0
ACT_075,CHEMBL3671841,Cc1cccc(C(=O)NC23CCCC(C(=O)Nc4ccnc(C)n4)(CC2)C3)n1,7.42,IC50,379.46400000000017,2.9499400000000016,2,5,4,96.87,28,0
ACT_076,CHEMBL6028798,CN(C)C1CCN(c2ccc(N3CCC[C@@H](NC(=O)Nc4ccc(Cl)cc4)C3=O)cc2F)C1,9.41,EC50,473.9800000000002,3.9365000000000023,2,4,5,67.92,33,0
ACT_077,CHEMBL3954057,C[C@H](Nc1cc(C(N)=O)nc(Oc2ccc(C(F)(F)F)cc2-c2ccnnc2)n1)C(N)=O,5.85,IC50,447.3770000000001,2.1292999999999997,3,8,7,159.0,32,0
ACT_078,CHEMBL3940174,NC(=O)c1cc(N2CCC[C@H]2C(N)=O)nc(-c2ccc(Oc3ccc4c(c3)OCO4)cc2)n1,6.27,IC50,447.4510000000002,2.2176,2,8,6,142.89000000000004,33,0
ACT_079,CHEMBL5845036,COCCN1CC(NC(=O)Nc2ccc(Cl)cc2)C(c2ccc(F)cc2F)CC1=O,6.3,EC50,437.8740000000002,3.770800000000002,2,3,6,70.67,30,0
ACT_080,CHEMBL6025237,CP(C)(=O)c1ccccc1-c1ccc(N2CC[C@@H](NC(=O)Nc3cnc(Cl)cn3)C2=O)c(C2CC2)c1,7.51,EC50,523.9610000000002,4.849400000000004,2,5,6,104.29000000000002,36,0
ACT_081,CHEMBL5949823,COc1c(-c2ccccc2CO)ccc(N2CC[C@@H](NC(=O)Nc3ccc(C(F)(F)F)cc3F)C2=O)c1F,8.07,EC50,535.4690000000002,5.078500000000004,3,4,6,90.9,38,0
ACT_082,CHEMBL5965860,Cc1ccc(NC(=O)NN2C(=O)NC3(CCC(C)CC3)C2=O)cc1,6.44,EC50,330.3880000000001,2.5322200000000006,3,3,2,90.53999999999999,24,0
ACT_083,CHEMBL3943872,CC1(C)OCC(CN(c2cc(C(N)=O)nc(-c3ccc(Oc4ccc(F)cc4)cc3)n2)S(C)(=O)=O)O1,7.06,IC50,516.5510000000002,3.091400000000001,1,8,8,133.94,36,0
ACT_084,CHEMBL267179,CSCC[C@H](NC=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,5.17,EC50,437.5620000000002,1.1971000000000018,4,5,14,124.60000000000001,30,0
ACT_085,CHEMBL3731739,O=C(NCCCn1ccnc1)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2CC[C@H]1C21CC1,8.39,EC50,471.3990000000002,3.8430000000000017,2,3,7,76.02,30,0
ACT_086,CHEMBL4751168,COc1ccc([C@@H]2CNC(=O)[C@H]2NC(=O)Nc2ccc(F)cc2)cc1F,9.05,EC50,361.34800000000007,2.3771000000000004,3,3,4,79.46000000000001,26,0
ACT_087,CHEMBL5763874,CSc1ccc(NC(=O)Nc2ccc3c(c2)C(=O)N(CCc2c[nH]cn2)C(c2ccc(Cl)o2)C3)cc1,7.77,EC50,522.0300000000003,6.004300000000003,3,5,7,103.26,36,0
ACT_088,CHEMBL5793441,Cc1ccc(NC(=O)N[C@@H]2CCCN(c3ccc(-c4ccccc4C(N)=O)cc3)C2=O)c(C)c1,6.28,EC50,456.5460000000002,4.386440000000003,3,3,5,104.53,34,0
ACT_089,CHEMBL3732601,NCc1cccc(CNC(=O)[C@H]2[C@H](C(=O)NCc3ccc(Br)cc3)[C@@H]3C=C[C@H]2C32CC2)c1,7.23,EC50,494.43300000000016,3.6688000000000027,3,3,7,84.22,32,0
ACT_090,CHEMBL3968187,Cc1cnn(C)c1S(=O)(=O)N1CCC(Oc2ccc(Cl)cc2Cl)CC1,5.96,IC50,404.3190000000002,3.2674200000000013,0,4,4,64.43,25,0
ACT_091,CHEMBL6040365,COc1ccc(-c2cccc(C3COB(O)C3)n2)c(C#N)c1OC1CCCC1,8.06,IC50,378.2370000000002,3.5445800000000016,1,6,5,84.60000000000001,28,0
ACT_092,CHEMBL5774395,CCOP(=O)(CNC(=O)[C@H](CC(C)C)NC(=O)Nc1ccc(SC)cc1)OCC,8.46,EC50,445.52200000000016,4.284500000000003,3,6,12,105.76,29,0
ACT_093,CHEMBL3968977,C[C@H](Nc1cc(-c2ccc(Oc3ccc(F)cc3)cc2)nc(C(N)=O)n1)C(N)=O,5.68,IC50,395.3940000000001,2.4596,3,6,7,133.22,29,0
ACT_094,CHEMBL2391447,COc1ccc(Nc2c(C(C)=O)c(C)nn(CC(=O)Nc3ccc(Br)cc3)c2=O)cc1,5.77,EC50,485.3380000000001,3.907720000000002,2,6,7,102.32,31,0
ACT_095,CHEMBL5824465,CC[C@H](C)[C@H](NC(=O)Nc1ccc(Br)cc1)C(=O)NCC(=O)O,5.7,EC50,386.24600000000015,2.1860999999999997,4,3,7,107.53000000000002,23,0
ACT_096,CHEMBL3590206,CCOC(=O)C1CCCN(C(=O)[C@H](Cc2ccccc2)NC(=O)Nc2ccc(Br)cc2)C1,8.15,EC50,502.4090000000001,3.983600000000002,2,4,7,87.74000000000001,32,0
ACT_097,CHEMBL5542471,COc1ccc(-n2c(-c3ccccc3)cnc2NC(=O)c2ccc(OC(F)F)cc2)cc1,8.52,EC50,435.4300000000001,5.401600000000003,1,4,7,65.38,32,0
ACT_098,CHEMBL3986936,Cc1nn(C)c(C)c1S(=O)(=O)N1CCC(Nc2ccc(Cl)c(Cl)c2)CC1,5.57,IC50,417.3620000000002,3.6089400000000023,1,4,4,67.23,26,0
ACT_099,CHEMBL6064947,COc1cnc(-c2cccc(C3COB(O)C3)c2)nc1OC,8.51,IC50,300.12300000000005,1.7550999999999997,1,6,4,73.7,22,0
ACT_100,CHEMBL4434857,CCCCC[C@H](O)c1nc(-c2ccccc2)oc1/C=C/[C@@H](O)[C@@H](O)CCCC(=O)OC(C)C,8.6,IC50,459.58300000000025,4.812200000000004,3,7,14,113.02000000000002,33,0
