molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,assay_chembl_id,assay_type,assay_description,document_chembl_id,document_year
CHEMBL327746,O=C1NCc2c(-c3ccc(F)cc3Cl)cc(CN3CCNCC3)cc2N1c1c(Cl)cccc1Cl,IC50,0.13,nM,9.89,CHEMBL734090,B,Inhibitory activity against mitogen-activated protein kinase p38 alpha,CHEMBL1136271,2003
CHEMBL316337,COC(=O)c1cc(-c2c(F)cccc2F)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2,IC50,44.0,nM,7.36,CHEMBL734090,B,Inhibitory activity against mitogen-activated protein kinase p38 alpha,CHEMBL1136271,2003
CHEMBL97227,O=C1NCc2c(-c3ccccc3Cl)cc(CN3CCNCC3)cc2N1c1c(Cl)cccc1Cl,IC50,0.1,nM,10.0,CHEMBL734090,B,Inhibitory activity against mitogen-activated protein kinase p38 alpha,CHEMBL1136271,2003
CHEMBL94377,COC(=O)c1cc(-c2ccccc2C)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2,IC50,11.0,nM,7.96,CHEMBL734090,B,Inhibitory activity against mitogen-activated protein kinase p38 alpha,CHEMBL1136271,2003
CHEMBL94417,O=C1NCc2c(-c3ccc(F)cc3F)cc(N3CCNCC3)cc2N1c1c(Cl)cccc1Cl,IC50,2.6,nM,8.59,CHEMBL734090,B,Inhibitory activity against mitogen-activated protein kinase p38 alpha,CHEMBL1136271,2003
CHEMBL94495,COC(=O)c1cc(-c2ccccc2F)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2,IC50,7.0,nM,8.15,CHEMBL734090,B,Inhibitory activity against mitogen-activated protein kinase p38 alpha,CHEMBL1136271,2003
CHEMBL96225,O=C(c1cc(-c2ccc(F)cc2Cl)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2)N1CCNCC1,IC50,1.1,nM,8.96,CHEMBL734090,B,Inhibitory activity against mitogen-activated protein kinase p38 alpha,CHEMBL1136271,2003
CHEMBL96653,CN1CCC(c2cc(-c3ccc(F)cc3Cl)c3c(c2)N(c2c(Cl)cccc2Cl)C(=O)NC3)CC1,IC50,0.5,nM,9.3,CHEMBL734090,B,Inhibitory activity against mitogen-activated protein kinase p38 alpha,CHEMBL1136271,2003
CHEMBL328242,CC(C)N1CCC(c2cc(-c3ccc(F)cc3Cl)c3c(c2)N(c2c(Cl)cccc2Cl)C(=O)NC3)CC1,IC50,0.6,nM,9.22,CHEMBL734090,B,Inhibitory activity against mitogen-activated protein kinase p38 alpha,CHEMBL1136271,2003
CHEMBL94783,COC(=O)c1cc(-c2ccc(F)cc2C)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2,IC50,11.0,nM,7.96,CHEMBL734090,B,Inhibitory activity against mitogen-activated protein kinase p38 alpha,CHEMBL1136271,2003
CHEMBL328274,COC(=O)c1cc(-c2cccc(C)c2)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2,IC50,320.0,nM,6.5,CHEMBL734090,B,Inhibitory activity against mitogen-activated protein kinase p38 alpha,CHEMBL1136271,2003
CHEMBL319556,O=C1NCc2c(-c3ccc(F)cc3F)cc(C3CCNCC3)cc2N1c1c(Cl)cccc1Cl,IC50,0.2,nM,9.7,CHEMBL734090,B,Inhibitory activity against mitogen-activated protein kinase p38 alpha,CHEMBL1136271,2003
CHEMBL327217,O=C(c1cc(-c2ccc(F)cc2F)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2)N1CCNCC1,IC50,2.4,nM,8.62,CHEMBL734090,B,Inhibitory activity against mitogen-activated protein kinase p38 alpha,CHEMBL1136271,2003
CHEMBL419134,O=C1NCc2c(-c3ccc(F)cc3Cl)cc(C3CCN(CC4CC4)CC3)cc2N1c1c(Cl)cccc1Cl,IC50,0.5,nM,9.3,CHEMBL734090,B,Inhibitory activity against mitogen-activated protein kinase p38 alpha,CHEMBL1136271,2003
CHEMBL96091,COc1cc(-c2ccc(F)cc2F)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2,IC50,11.0,nM,7.96,CHEMBL734090,B,Inhibitory activity against mitogen-activated protein kinase p38 alpha,CHEMBL1136271,2003
