molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,assay_chembl_id,assay_type,assay_description,document_chembl_id,document_year
CHEMBL4758307,O/N=C/c1cc(Cl)cc(CN2CCN(c3ccncc3)CC2)c1O,Kd,6700.0,nM,5.17,CHEMBL4738600,B,Reactivation of sarin-inhibited human AChE assessed as dissociation constant incubated for 30 mins by Ellman's method,CHEMBL4732229,2021
CHEMBL590824,CS(=O)(=O)[O-].CS(=O)(=O)[O-].O/N=C/c1cc[n+](COC[n+]2ccc(/C=N/O)cc2)cc1,Kd,5300.0,nM,5.28,CHEMBL4738601,B,Reactivation of parathion-inhibited human AChE assessed as dissociation constant incubated for 30 mins by Ellman's method,CHEMBL4732229,2021
CHEMBL4752879,Cc1cc(/C=N/O)c(O)c(CNc2ccc(Cn3cncn3)cc2)c1,Kd,750.0,nM,6.12,CHEMBL4738601,B,Reactivation of parathion-inhibited human AChE assessed as dissociation constant incubated for 30 mins by Ellman's method,CHEMBL4732229,2021
CHEMBL590824,CS(=O)(=O)[O-].CS(=O)(=O)[O-].O/N=C/c1cc[n+](COC[n+]2ccc(/C=N/O)cc2)cc1,Kd,1200.0,nM,5.92,CHEMBL4738602,B,Reactivation of dichlorvos-inhibited human AChE assessed as dissociation constant incubated for 30 mins by Ellman's method,CHEMBL4732229,2021
CHEMBL4752879,Cc1cc(/C=N/O)c(O)c(CNc2ccc(Cn3cncn3)cc2)c1,Kd,990.0,nM,6.0,CHEMBL4738602,B,Reactivation of dichlorvos-inhibited human AChE assessed as dissociation constant incubated for 30 mins by Ellman's method,CHEMBL4732229,2021
CHEMBL4786658,COc1cc2c(cc1OC)C(=O)/C(=C/c1ccc(N3CCN(C)CC3)cc1)C2,IC50,320.0,nM,6.5,CHEMBL4768259,B,Inhibition of human erythrocyte AChE using acetylthiocholine as substrate measured after 5 mins by Ellman's method,CHEMBL4765271,2020
CHEMBL4800260,COc1cc2c(cc1OC)C(=O)/C(=C/c1ccc(N3CC[N+](C)(Cc4ccccc4)CC3)cc1)C2.[Cl-],IC50,370.0,nM,6.43,CHEMBL4768259,B,Inhibition of human erythrocyte AChE using acetylthiocholine as substrate measured after 5 mins by Ellman's method,CHEMBL4765271,2020
CHEMBL4780628,COc1cc2c(cc1OC)C(=O)/C(=C/c1ccc(N3CC[N+](C)(Cc4ccc(Br)cc4)CC3)cc1)C2.[Br-],IC50,2550.0,nM,5.59,CHEMBL4768259,B,Inhibition of human erythrocyte AChE using acetylthiocholine as substrate measured after 5 mins by Ellman's method,CHEMBL4765271,2020
CHEMBL4778690,COc1cc2c(cc1OC)C(=O)/C(=C/c1ccc(N3CC[N+](C)(Cc4cccc(Br)c4)CC3)cc1)C2.[Br-],IC50,1990.0,nM,5.7,CHEMBL4768259,B,Inhibition of human erythrocyte AChE using acetylthiocholine as substrate measured after 5 mins by Ellman's method,CHEMBL4765271,2020
CHEMBL4794208,COc1cc2c(cc1OC)C(=O)/C(=C/c1ccc(N3CC[N+](C)(Cc4ccccc4Br)CC3)cc1)C2.[Br-],IC50,540.0,nM,6.27,CHEMBL4768259,B,Inhibition of human erythrocyte AChE using acetylthiocholine as substrate measured after 5 mins by Ellman's method,CHEMBL4765271,2020
CHEMBL4791075,COc1cc2c(cc1OC)C(=O)/C(=C/c1ccc(N3CC[N+](C)(Cc4cccc(Cl)c4)CC3)cc1)C2.[Br-],IC50,320.0,nM,6.5,CHEMBL4768259,B,Inhibition of human erythrocyte AChE using acetylthiocholine as substrate measured after 5 mins by Ellman's method,CHEMBL4765271,2020
CHEMBL4787855,COc1cc2c(cc1OC)C(=O)/C(=C/c1ccc(N3CC[N+](C)(Cc4ccccc4Cl)CC3)cc1)C2.[Cl-],IC50,480.0,nM,6.32,CHEMBL4768259,B,Inhibition of human erythrocyte AChE using acetylthiocholine as substrate measured after 5 mins by Ellman's method,CHEMBL4765271,2020
CHEMBL4784191,COc1cc2c(cc1OC)C(=O)/C(=C/c1ccc(N3CC[N+](C)(Cc4ccccn4)CC3)cc1)C2.[Cl-],IC50,380.0,nM,6.42,CHEMBL4768259,B,Inhibition of human erythrocyte AChE using acetylthiocholine as substrate measured after 5 mins by Ellman's method,CHEMBL4765271,2020
CHEMBL4794690,CCC[N+]1(C)CCN(c2ccc(/C=C3\Cc4cc(OC)c(OC)cc4C3=O)cc2)CC1.[Br-],IC50,2150.0,nM,5.67,CHEMBL4768259,B,Inhibition of human erythrocyte AChE using acetylthiocholine as substrate measured after 5 mins by Ellman's method,CHEMBL4765271,2020
CHEMBL4776999,CCCC[N+]1(C)CCN(c2ccc(/C=C3\Cc4cc(OC)c(OC)cc4C3=O)cc2)CC1.[Br-],IC50,540.0,nM,6.27,CHEMBL4768259,B,Inhibition of human erythrocyte AChE using acetylthiocholine as substrate measured after 5 mins by Ellman's method,CHEMBL4765271,2020
CHEMBL4797677,CCCCC[N+]1(C)CCN(c2ccc(/C=C3\Cc4cc(OC)c(OC)cc4C3=O)cc2)CC1.[Br-],IC50,540.0,nM,6.27,CHEMBL4768259,B,Inhibition of human erythrocyte AChE using acetylthiocholine as substrate measured after 5 mins by Ellman's method,CHEMBL4765271,2020
CHEMBL4794354,CCCCCC[N+]1(C)CCN(c2ccc(/C=C3\Cc4cc(OC)c(OC)cc4C3=O)cc2)CC1.[Br-],IC50,4250.0,nM,5.37,CHEMBL4768259,B,Inhibition of human erythrocyte AChE using acetylthiocholine as substrate measured after 5 mins by Ellman's method,CHEMBL4765271,2020
